CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;CICIL_EMAS;KOL2;0;0;0;0;0;0;0;112;100;424;707;502;0;1144;0;0;1010;1049
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;KOL2;1530;2659;1774;2346;2428;1689;1518;1729;3041;2234;2744;1513;2194;2198;2275;2446;2969;2179
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MULTIGUNA;KOL2;0;0;105;0;50;202;195;188;183;100;121;46;90;101;139;66;17;233
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PROHAJJ;KOL2;40;55;64;123;129;195;135;122;47;30;149;220;149;321;555;362;344;428
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;KOL2;1985;141;1960;1926;356;352;866;851;2555;121;1789;118;113;113;111;718;691;691
482 - MEDAN BARU;214 - KCP BINJAI;CICIL_EMAS;KOL2;0;0;0;99;105;7;0;0;0;3;2;1;0;22;0;0;64;1258
482 - MEDAN BARU;214 - KCP BINJAI;KPR;KOL2;0;126;164;161;53;185;139;201;239;173;232;142;183;122;189;74;112;125
482 - MEDAN BARU;214 - KCP BINJAI;MULTIGUNA;KOL2;62;52;52;52;179;179;128;170;42;39;135;134;134;134;474;127;127;138
482 - MEDAN BARU;214 - KCP BINJAI;PROHAJJ;KOL2;65;78;86;55;40;27;24;23;36;42;56;22;12;12;12;19;7;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;KOL2;53;51;49;48;46;45;43;41;39;38;36;34;32;30;30;27;25;25
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;CICIL_EMAS;KOL2;0;0;0;0;0;88;40;0;40;0;52;37;0;113;0;0;79;460
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;KOL2;162;161;393;388;84;82;433;152;147;589;256;140;246;221;215;147;309;241
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MULTIGUNA;KOL2;0;0;0;43;0;0;0;34;0;0;48;0;0;31;75;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PROHAJJ;KOL2;28;27;27;10;10;0;9;0;0;0;0;0;0;0;0;0;28;108
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;KOL2;0;0;0;0;0;0;0;0;0;31;53;0;0;49;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;CICIL_EMAS;KOL2;0;0;0;0;0;0;363;375;0;16;39;47;0;73;0;0;773;1200
221 - PEKANBARU;221 - PEKANBARU;KPR;KOL2;4931;5216;5417;5241;5548;4268;4816;4432;3942;4190;4667;3052;3660;3701;3780;4073;3760;3270
221 - PEKANBARU;221 - PEKANBARU;MULTIGUNA;KOL2;0;38;56;37;36;104;138;292;252;260;229;220;168;205;199;125;122;121
221 - PEKANBARU;221 - PEKANBARU;PROHAJJ;KOL2;133;122;122;141;124;21;26;0;41;39;0;18;18;29;16;17;43;39
221 - PEKANBARU;221 - PEKANBARU;SME;KOL2;137;121;1098;1066;40;39;38;37;83;34;33;32;30;29;28;26;25;39448
221 - PEKANBARU;227 - KCP KAMPAR;CICIL_EMAS;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;364;0;0;55;511
221 - PEKANBARU;227 - KCP KAMPAR;KPR;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;MULTIGUNA;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;3
221 - PEKANBARU;227 - KCP KAMPAR;PROHAJJ;KOL2;0;0;26;37;0;0;0;0;0;0;0;0;0;0;138;141;133;143
221 - PEKANBARU;227 - KCP KAMPAR;SME;KOL2;124;120;116;113;113;113;101;101;101;0;0;0;76;72;72;64;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;CICIL_EMAS;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;182;0;0;343;139
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;KPR;KOL2;0;119;117;115;115;113;110;106;0;51;51;51;0;0;0;0;0;140
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MULTIGUNA;KOL2;0;0;0;0;0;0;0;0;256;112;109;0;0;101;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;PROHAJJ;KOL2;26;61;0;22;0;30;19;18;25;23;0;0;68;72;41;27;48;59
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SME;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;CICIL_EMAS;KOL2;0;0;0;0;0;0;0;28;0;0;23;23;0;92;0;0;106;466
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;KPR;KOL2;0;76;0;0;0;0;0;0;0;0;159;0;48;48;0;45;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;MULTIGUNA;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;80;103
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;PROHAJJ;KOL2;89;101;81;24;142;71;59;57;73;54;106;86;84;94;62;65;87;143
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;SME;KOL2;0;0;172;0;314;0;168;165;0;164;162;0;161;161;160;159;157;157
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;CICIL_EMAS;KOL2;0;0;0;0;0;0;0;0;0;0;35;35;0;35;0;0;18;394
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;KPR;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;MULTIGUNA;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;PROHAJJ;KOL2;0;14;17;98;94;15;15;15;15;0;10;0;0;0;0;0;0;0
